City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,dt
200,cherskiy,68.75,161.3,-15.92,94,100,1.54,RU,1667766648
201,ipaussu,-23.0553,-49.6284,19.35,58,94,3.24,BR,1667767047
202,marathon,44.9,-89.7668,12.74,33,0,9.26,US,1667767047
203,torrelodones,40.5765,-3.9266,13.6,76,100,0.88,ES,1667767048
204,fort nelson,58.8053,-122.7002,-12.25,65,75,5.66,CA,1667767048
205,surt,31.2089,16.5887,21.39,55,45,8.45,LY,1667766687
206,chinhoyi,-17.3667,30.2,20.3,76,80,2.38,ZW,1667767048
207,sjovegan,68.8726,17.8474,5.12,88,100,2.02,NO,1667767049
208,anchorage,61.2181,-149.9003,-7.4,68,0,1.54,US,1667766899
209,krasnyy yar,46.5331,48.3456,3.96,64,100,2.33,RU,1667767049
210,pangnirtung,66.1451,-65.7125,-10.0,62,20,0.0,CA,1667767050
211,cascais,38.6979,-9.4215,18.06,97,100,6.26,PT,1667767050
212,gat,31.61,34.7642,21.38,100,4,1.6,IL,1667766936
213,muros,42.7762,-9.0603,16.72,73,28,5.71,ES,1667766950
214,skjervoy,70.0311,20.9714,3.0,77,100,7.91,NO,1667767051
215,butterworth,5.3991,100.3638,27.41,94,20,1.03,MY,1667767051
216,prachuap khiri khan,12.2167,99.75,20.95,93,96,1.08,TH,1667767051
217,birjand,32.8663,59.2211,7.26,33,0,3.09,IR,1667767052
218,sioux lookout,50.1001,-91.917,2.04,93,75,3.09,CA,1667767052
219,batagay,67.6333,134.6333,-19.8,98,100,1.24,RU,1667767052
220,carsamba,41.1989,36.7219,15.44,88,75,1.03,TR,1667767053
221,meulaboh,4.1363,96.1285,24.47,88,100,1.79,ID,1667766777
222,pemangkat,1.1667,108.9667,24.56,90,100,2.34,ID,1667767053
223,lushoto,-4.7833,38.2833,14.95,90,41,1.06,TZ,1667767053
224,kuldiga,56.974,21.9572,7.83,82,98,4.46,LV,1667767054
225,hithadhoo,-0.6,73.0833,27.43,76,86,4.93,MV,1667766736
226,kavaratti,10.5669,72.642,27.49,75,0,2.73,IN,1667766667
